kind,source_path,archive_path,lines,chars,sha256,headings
agents,.github/AGENTS.md,corpus/agents/_dot_github/AGENTS.md,7,373,f6db6007e2659557c04fdd33600eae551718fbddde9ae91593f403f1c733c6d3,# Repository Guidelines
agents,2077-daily/AGENTS.md,corpus/agents/2077-daily/AGENTS.md,5,325,e3447d84251880fb34cfae09131cb4c57471529bbfe60976a3245793cf621627,# This is NOT the Next.js you know
agents,3d-agent/AGENTS.md,corpus/agents/3d-agent/AGENTS.md,28,944,eb5d23cc6bb751495400d250f95f1490648955f477f23d62b930701d59446433,# 3D Agent Maintenance Guide | ## Project State | ## Before Editing | ## Useful Commands | ## Deployment Notes
agents,Aditum/AGENTS.md,corpus/agents/Aditum/AGENTS.md,6,310,3b5550c784d9ab441bd97ebe808d99b2b0d930c3e993ddd90ab3bbe54826e7ab,# Repository Guidelines
agents,AGENTS.md,corpus/agents/AGENTS.md,44,3853,c3aea6490de6ccdee1bbc745c71fb2a3808e8d427894b4ba7e33975b5e3c44e3,# Repository Working Guide | ## General Rules | ## Workspace Inventory Materials | ## Common Project Shapes | ## Verification Preferences
agents,ai-agent-agentscope-codereview/AGENTS.md,corpus/agents/ai-agent-agentscope-codereview/AGENTS.md,6,264,8924fd72e6ad9b65d8619e9dd6b7b0c88ab3b92b47871eef6174295b46240370,# Repository Guidelines
agents,ai-agent-agentscope-deepresearch/AGENTS.md,corpus/agents/ai-agent-agentscope-deepresearch/AGENTS.md,51,1872,d8854be7c20ad7c5e2a9264a5f93d32c16ec6504b60db331dca4b8aa812dd61c,# Repository Guidelines | ## Project Structure | ## Commands | ## Environment | ## Deployment
agents,ai-agent-agentscope/AGENTS.md,corpus/agents/ai-agent-agentscope/AGENTS.md,23,762,0ee404c92a2949f6ded06bd64ec9f73fcdf8ae93d3c71a746d34b0a4c8376bed,# Eino Agent Platform Working Guide | ## Scope | ## Validation
agents,ai-chat-chrome/AGENTS.md,corpus/agents/ai-chat-chrome/AGENTS.md,41,1552,ef6e6c18d101e2f560641e00048675b4a20e0bb346fb13d93f8cba119ccacbd3,# Repository Notes | ## Structure | ## Working Rules | ## Validation
agents,ai-chat-chrome/hotel-compare/web/AGENTS.md,corpus/agents/ai-chat-chrome/hotel-compare/web/AGENTS.md,5,325,e3447d84251880fb34cfae09131cb4c57471529bbfe60976a3245793cf621627,# This is NOT the Next.js you know
agents,ai-chat-cr-chrome/AGENTS.md,corpus/agents/ai-chat-cr-chrome/AGENTS.md,6,255,41266588209102dd710e88a2b811cc01c1547cb5f14b7fea6f0a029c83df68ab,# Repository Guidelines
agents,ai-coding-mcp/AGENTS.md,corpus/agents/ai-coding-mcp/AGENTS.md,6,232,26ef94dd60e287f4d098428d681ad4ba92e371b2dc411d68a044b4adc6be4501,# Repository Guidelines
agents,ai-dify-dsl/AGENTS.md,corpus/agents/ai-dify-dsl/AGENTS.md,6,249,2ac81da4bcb0519e20cf4e927725c75f28ab64cad96c80535440ec3c3662fc8c,# Repository Guidelines
